AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|38177564|Female|All other|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|All other|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|38305772|Female|All other|2005|~|~|~
0-19|~|~|~|Malignant|~|38305772|Female|All other|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|All other|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|All other|2006|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|16|191951502|Female|All other|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|191951502|Female|All other|2006-2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|39682297|Female|All other|2007|~|~|~
0-19|~|~|~|Malignant|~|39682297|Female|All other|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|39875033|Female|All other|2008|~|~|~
0-19|~|~|~|Malignant|~|39875033|Female|All other|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|39970215|Female|All other|2009|~|~|~
0-19|~|~|~|Malignant|~|39970215|Female|All other|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|39544072|Female|All other|2010|~|~|~
0-19|~|~|~|Malignant|~|39544072|Female|All other|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Anaplastic astrocytoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|44|38177564|Female|Anaplastic astrocytoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Anaplastic astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|38305772|Female|Anaplastic astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Anaplastic astrocytoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|38466303|Female|Anaplastic astrocytoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Anaplastic astrocytoma|2006-2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|154|191951502|Female|Anaplastic astrocytoma|2006-2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Anaplastic astrocytoma|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|39682297|Female|Anaplastic astrocytoma|2007|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Anaplastic astrocytoma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|39875033|Female|Anaplastic astrocytoma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Anaplastic astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|39970215|Female|Anaplastic astrocytoma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Anaplastic astrocytoma|2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|36|39544072|Female|Anaplastic astrocytoma|2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Malignant|~|38305772|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Anaplastic oligodendroglioma|2006-2010|~|~|~
