YEAR|RACE|SEX|SITE|EVENT_TYPE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|POPULATION|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
1999|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.2|1508|122799298|1.2|1.3|1.2
1999|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|582|142237295|0.4|0.4|0.4
2000|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.4|1.3|1646|127339224|1.2|1.4|1.3
2000|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|591|143719004|0.4|0.4|0.4
2001|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.3|1744|133852494|1.2|1.4|1.3
2001|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.5|0.4|644|145077463|0.4|0.5|0.4
2002|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1678|134016064|1.2|1.3|1.3
2002|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|616|146394634|0.4|0.5|0.4
2003|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1706|138373274|1.2|1.3|1.2
2003|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|574|147679036|0.4|0.4|0.4
2004|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.3|1828|142598939|1.2|1.3|1.3
2004|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|606|148977286|0.4|0.4|0.4
2005|All Races|Female|Acute Lymphocytic|Incidence|1.2|1.3|1.3|1806|143876329|1.2|1.3|1.3
2005|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|653|150319521|0.4|0.5|0.4
2006|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.3|1871|145223221|1.2|1.3|1.3
2006|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|623|151732647|0.4|0.4|0.4
2006-2010|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.4|1.4|9852|732214721|1.3|1.4|1.3
2006-2010|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|3093|772700968|0.4|0.4|0.4
2007|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.5|1.4|2026|150543802|1.3|1.4|1.3
2007|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|605|153166353|0.4|0.4|0.4
2008|All Races|Female|Acute Lymphocytic|Incidence|1.4|1.5|1.4|2097|151961343|1.3|1.4|1.4
2008|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|607|154604015|0.4|0.4|0.4
2009|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.4|2059|153304117|1.3|1.4|1.3
2009|All Races|Female|Acute Lymphocytic|Mortality|0.3|0.4|0.4|596|155964075|0.4|0.4|0.4
2010|All Races|Female|Acute Lymphocytic|Incidence|1.3|1.4|1.4|2027|153071919|1.3|1.4|1.3
2010|All Races|Female|Acute Lymphocytic|Mortality|0.4|0.4|0.4|662|157233878|0.4|0.5|0.4
1999|All Races|Female|Acute Myeloid|Incidence|3.1|3.3|3.2|4174|122799298|3.3|3.5|3.4
1999|All Races|Female|Acute Myeloid|Mortality|2.0|2.1|2.1|3225|142237295|2.2|2.3|2.3
2000|All Races|Female|Acute Myeloid|Incidence|3.1|3.3|3.2|4426|127339224|3.4|3.6|3.5
2000|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3405|143719004|2.3|2.5|2.4
2001|All Races|Female|Acute Myeloid|Incidence|3.1|3.3|3.2|4688|133852494|3.4|3.6|3.5
2001|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3551|145077463|2.4|2.5|2.4
2002|All Races|Female|Acute Myeloid|Incidence|2.9|3.1|3.0|4399|134016064|3.2|3.4|3.3
2002|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3499|146394634|2.3|2.5|2.4
2003|All Races|Female|Acute Myeloid|Incidence|3.1|3.2|3.1|4743|138373274|3.3|3.5|3.4
2003|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3617|147679036|2.4|2.5|2.4
2004|All Races|Female|Acute Myeloid|Incidence|3.0|3.1|3.1|4772|142598939|3.3|3.4|3.3
2004|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3701|148977286|2.4|2.6|2.5
2005|All Races|Female|Acute Myeloid|Incidence|2.9|3.1|3.0|4779|143876329|3.2|3.4|3.3
2005|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3625|150319521|2.3|2.5|2.4
2006|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|4918|145223221|3.3|3.5|3.4
2006|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3814|151732647|2.4|2.6|2.5
2006-2010|All Races|Female|Acute Myeloid|Incidence|3.1|3.2|3.1|25439|732214721|3.4|3.5|3.5
2006-2010|All Races|Female|Acute Myeloid|Mortality|2.2|2.2|2.2|19437|772700968|2.5|2.6|2.5
2007|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5099|150543802|3.3|3.5|3.4
