AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.3|0.4|0.3|194|Mortality|59955368|Acute Lymphocytic|1999
0-19|0.3|0.4|0.4|285|Mortality|80039970|Acute Lymphocytic|1999
0-14|3.5|3.8|3.7|1898|Incidence|51965300|Acute Lymphocytic|1999
0-19|3.0|3.2|3.1|2142|Incidence|69321240|Acute Lymphocytic|1999
0-14|0.2|0.3|0.2|141|Mortality|59955368|Acute Myeloid|1999
0-19|0.2|0.3|0.3|207|Mortality|80039970|Acute Myeloid|1999
0-14|0.6|0.8|0.7|362|Incidence|51965300|Acute Myeloid|1999
0-19|0.7|0.8|0.7|514|Incidence|69321240|Acute Myeloid|1999
0-14|2.4|2.6|2.5|1498|Mortality|59955368|All Cancer Sites Combined|1999
0-19|2.7|2.9|2.8|2243|Mortality|80039970|All Cancer Sites Combined|1999
0-14|14.4|15.1|14.8|7648|Incidence|51965300|All Cancer Sites Combined|1999
0-19|15.8|16.4|16.1|11112|Incidence|69321240|All Cancer Sites Combined|1999
0-14|0.1|0.2|0.1|82|Mortality|59955368|Bones and Joints|1999
0-19|0.2|0.3|0.3|209|Mortality|80039970|Bones and Joints|1999
0-14|0.7|0.8|0.8|391|Incidence|51965300|Bones and Joints|1999
0-19|0.8|1.0|0.9|635|Incidence|69321240|Bones and Joints|1999
0-14|0.7|0.8|0.7|431|Mortality|59955368|Brain and Other Nervous System|1999
0-19|0.6|0.7|0.7|546|Mortality|80039970|Brain and Other Nervous System|1999
0-14|3.1|3.4|3.3|1701|Incidence|51965300|Brain and Other Nervous System|1999
0-19|2.8|3.1|3.0|2054|Incidence|69321240|Brain and Other Nervous System|1999
0-14|~|~|~|~|Mortality|59955368|Hodgkin Lymphoma|1999
0-19|0.0|0.1|0.1|41|Mortality|80039970|Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|279|Incidence|51965300|Hodgkin Lymphoma|1999
0-19|1.1|1.3|1.2|821|Incidence|69321240|Hodgkin Lymphoma|1999
0-14|0.1|0.1|0.1|54|Mortality|59955368|Kidney and Renal Pelvis|1999
0-19|0.1|0.1|0.1|62|Mortality|80039970|Kidney and Renal Pelvis|1999
0-14|0.8|0.9|0.8|431|Incidence|51965300|Kidney and Renal Pelvis|1999
0-19|0.6|0.7|0.7|457|Incidence|69321240|Kidney and Renal Pelvis|1999
0-14|0.7|0.8|0.8|451|Mortality|59955368|Leukemia|1999
0-19|0.8|0.9|0.8|672|Mortality|80039970|Leukemia|1999
0-14|4.5|4.9|4.7|2427|Incidence|51965300|Leukemia|1999
0-19|4.0|4.3|4.2|2896|Incidence|69321240|Leukemia|1999
0-14|0.1|0.1|0.1|55|Mortality|59955368|Non-Hodgkin Lymphoma|1999
0-19|0.1|0.2|0.1|106|Mortality|80039970|Non-Hodgkin Lymphoma|1999
0-14|0.8|1.0|0.9|470|Incidence|51965300|Non-Hodgkin Lymphoma|1999
0-19|1.0|1.2|1.1|747|Incidence|69321240|Non-Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|328|Mortality|59955368|Other|1999
0-19|0.5|0.6|0.6|455|Mortality|80039970|Other|1999
0-14|2.8|3.1|2.9|1506|Incidence|51965300|Other|1999
0-19|4.0|4.3|4.2|2892|Incidence|69321240|Other|1999
0-14|0.1|0.2|0.1|87|Mortality|59955368|Soft Tissue|1999
0-19|0.2|0.2|0.2|152|Mortality|80039970|Soft Tissue|1999
0-14|0.8|0.9|0.9|443|Incidence|51965300|Soft Tissue|1999
0-19|0.8|1.0|0.9|610|Incidence|69321240|Soft Tissue|1999
0-14|0.3|0.4|0.4|234|Mortality|60279841|Acute Lymphocytic|2000
0-19|0.4|0.5|0.4|332|Mortality|80574796|Acute Lymphocytic|2000
0-14|3.5|3.8|3.7|1953|Incidence|53577590|Acute Lymphocytic|2000
0-19|3.0|3.3|3.1|2242|Incidence|71576680|Acute Lymphocytic|2000
0-14|0.2|0.3|0.2|145|Mortality|60279841|Acute Myeloid|2000
0-19|0.2|0.3|0.3|222|Mortality|80574796|Acute Myeloid|2000
0-14|0.5|0.7|0.6|320|Incidence|53577590|Acute Myeloid|2000
0-19|0.6|0.7|0.7|470|Incidence|71576680|Acute Myeloid|2000
0-14|2.4|2.7|2.5|1526|Mortality|60279841|All Cancer Sites Combined|2000
0-19|2.7|2.9|2.8|2271|Mortality|80574796|All Cancer Sites Combined|2000
