AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|2.5|3.0|2.7|418|Mortality|15339782|All Cancer Sites Combined|1999
10-14|2.3|2.7|2.5|503|Mortality|20213364|All Cancer Sites Combined|1999
15-19|3.4|4.0|3.7|745|Mortality|20084602|All Cancer Sites Combined|1999
5-9|2.3|2.7|2.5|509|Mortality|20606460|All Cancer Sites Combined|1999
<1|1.4|2.3|1.8|68|Mortality|3795762|All Cancer Sites Combined|1999
1-4|~|~|~|~|Incidence|13297303|Colon and Rectum|1999
10-14|~|~|~|~|Incidence|17507634|Colon and Rectum|1999
15-19|0.2|0.3|0.2|42|Incidence|17355940|Colon and Rectum|1999
5-9|~|~|~|~|Incidence|17879968|Colon and Rectum|1999
<1|~|~|~|~|Incidence|3280395|Colon and Rectum|1999
1-4|~|~|~|~|Mortality|7493614|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Mortality|9855664|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Mortality|9761569|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Mortality|10052618|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Mortality|1852123|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Incidence|6496024|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Incidence|8535050|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Incidence|8430546|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Incidence|8723247|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Incidence|1600564|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Mortality|15339782|Esophagus|1999
10-14|~|~|~|~|Mortality|20213364|Esophagus|1999
15-19|~|~|~|~|Mortality|20084602|Esophagus|1999
5-9|~|~|~|~|Mortality|20606460|Esophagus|1999
<1|~|~|~|~|Mortality|3795762|Esophagus|1999
1-4|~|~|~|~|Incidence|13297303|Esophagus|1999
10-14|~|~|~|~|Incidence|17507634|Esophagus|1999
15-19|~|~|~|~|Incidence|17355940|Esophagus|1999
5-9|~|~|~|~|Incidence|17879968|Esophagus|1999
<1|~|~|~|~|Incidence|3280395|Esophagus|1999
1-4|~|~|~|~|Mortality|7493614|Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Female Breast|1999
1-4|~|~|~|~|Incidence|6496024|Female Breast|1999
10-14|~|~|~|~|Incidence|8535050|Female Breast|1999
15-19|~|~|~|~|Incidence|8430546|Female Breast|1999
5-9|~|~|~|~|Incidence|8723247|Female Breast|1999
<1|~|~|~|~|Incidence|1600564|Female Breast|1999
1-4|~|~|~|~|Incidence|6496024|Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|8535050|Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|8430546|Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|8723247|Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1600564|Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Hodgkin Lymphoma|1999
10-14|~|~|~|~|Mortality|20213364|Hodgkin Lymphoma|1999
15-19|0.1|0.2|0.2|31|Mortality|20084602|Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|13297303|Hodgkin Lymphoma|1999
10-14|0.9|1.3|1.1|192|Incidence|17507634|Hodgkin Lymphoma|1999
15-19|2.9|3.4|3.1|542|Incidence|17355940|Hodgkin Lymphoma|1999
5-9|0.3|0.5|0.4|73|Incidence|17879968|Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3280395|Hodgkin Lymphoma|1999
