AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
0-14|144.2|150.9|147.5|7648|All ICCC Groups Combined|51965300|1999
0-19|157.7|163.6|160.6|11112|All ICCC Groups Combined|69321240|1999
0-14|45.0|48.8|46.9|2432|I Leukemias, myeloproliferative & myelodysplastic diseases|51965300|1999
0-19|40.4|43.4|41.9|2901|I Leukemias, myeloproliferative & myelodysplastic diseases|69321240|1999
0-14|35.3|38.6|36.9|1918|I(a) Lymphoid leukemias|51965300|1999
0-19|30.0|32.6|31.3|2168|I(a) Lymphoid leukemias|69321240|1999
0-14|7.0|8.6|7.8|402|I(b) Acute myeloid leukemias|51965300|1999
0-19|7.5|8.9|8.2|565|I(b) Acute myeloid leukemias|69321240|1999
0-14|0.4|0.8|0.6|29|I(c) Chronic myeloproliferative diseases|51965300|1999
0-19|0.7|1.2|0.9|65|I(c) Chronic myeloproliferative diseases|69321240|1999
0-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|51965300|1999
0-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|69321240|1999
0-14|1.1|1.8|1.4|74|I(e) Unspecified and other specified leukemias|51965300|1999
0-19|1.1|1.7|1.3|93|I(e) Unspecified and other specified leukemias|69321240|1999
0-14|14.3|16.5|15.4|798|II Lymphomas and reticuloendothelial neoplasms|51965300|1999
0-19|22.3|24.6|23.4|1621|II Lymphomas and reticuloendothelial neoplasms|69321240|1999
0-14|4.8|6.1|5.4|279|II(a) Hodgkin lymphomas|51965300|1999
0-19|11.1|12.7|11.9|821|II(a) Hodgkin lymphomas|69321240|1999
0-14|5.5|6.9|6.1|319|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|51965300|1999
0-19|7.2|8.5|7.8|541|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|69321240|1999
0-14|2.1|3.0|2.5|132|II(c) Burkitt lymphoma|51965300|1999
0-19|2.1|2.8|2.4|170|II(c) Burkitt lymphoma|69321240|1999
0-14|0.6|1.2|0.9|45|II(d) Miscellaneous lymphoreticular neoplasms|51965300|1999
0-19|0.5|0.9|0.7|47|II(d) Miscellaneous lymphoreticular neoplasms|69321240|1999
0-14|0.3|0.7|0.4|23|II(e) Unspecified lymphomas|51965300|1999
0-19|0.4|0.8|0.6|42|II(e) Unspecified lymphomas|69321240|1999
0-14|30.1|33.2|31.7|1646|III CNS and misc intracranial and intraspinal neoplasms|51965300|1999
0-19|27.4|30.0|28.7|1989|III CNS and misc intracranial and intraspinal neoplasms|69321240|1999
0-14|2.4|3.3|2.8|147|III(a) Ependymomas and choroid plexus tumor|51965300|1999
0-19|2.2|2.9|2.5|174|III(a) Ependymomas and choroid plexus tumor|69321240|1999
0-14|13.3|15.4|14.3|745|III(b) Astrocytomas|51965300|1999
0-19|12.7|14.5|13.6|942|III(b) Astrocytomas|69321240|1999
0-14|7.4|8.9|8.1|422|III(c) Intracranial and intraspinal embryonal tumors|51965300|1999
0-19|6.2|7.4|6.8|472|III(c) Intracranial and intraspinal embryonal tumors|69321240|1999
0-14|4.7|5.9|5.3|274|III(d) Other gliomas|51965300|1999
0-19|4.2|5.3|4.7|328|III(d) Other gliomas|69321240|1999
0-14|0.3|0.7|0.5|25|III(e) Other specified intracranial & intraspinal neoplasms|51965300|1999
0-19|0.3|0.7|0.5|34|III(e) Other specified intracranial & intraspinal neoplasms|69321240|1999
0-14|0.4|0.9|0.6|33|III(f) Unspecified intracranial and intraspinal neoplasms|51965300|1999
0-19|0.4|0.8|0.6|39|III(f) Unspecified intracranial and intraspinal neoplasms|69321240|1999
0-14|9.8|11.6|10.6|547|IV Neuroblastoma and other peripheral nervous cell tumors|51965300|1999
0-19|7.6|8.9|8.2|567|IV Neuroblastoma and other peripheral nervous cell tumors|69321240|1999
0-14|9.6|11.4|10.5|538|IV(a) Neuroblastoma and ganglioneuroblastoma|51965300|1999
0-19|7.3|8.6|7.9|546|IV(a) Neuroblastoma and ganglioneuroblastoma|69321240|1999
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|51965300|1999
0-19|0.2|0.5|0.3|21|IV(b) Other peripheral nervous cell tumors|69321240|1999
0-14|8.8|10.5|9.6|497|IX Soft tissue and other extraosseous sarcomas|51965300|1999
0-19|10.2|11.7|10.9|756|IX Soft tissue and other extraosseous sarcomas|69321240|1999
0-14|4.4|5.6|5.0|259|IX(a) Rhabdomyosarcomas|51965300|1999
0-19|4.1|5.1|4.6|319|IX(a) Rhabdomyosarcomas|69321240|1999
0-14|0.7|1.3|1.0|52|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|51965300|1999
0-19|0.9|1.5|1.2|81|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|69321240|1999
0-14|~|~|~|~|IX(c) Kaposi sarcoma|51965300|1999
0-19|~|~|~|~|IX(c) Kaposi sarcoma|69321240|1999
0-14|2.2|3.1|2.6|136|IX(d) Other specified soft tissue sarcomas|51965300|1999
