AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|192.7|207.9|200.2|2662|All ICCC Groups Combined|13297303|1999
10-14|119.7|130.2|124.9|2186|All ICCC Groups Combined|17507634|1999
15-19|193.0|206.3|199.6|3464|All ICCC Groups Combined|17355940|1999
5-9|107.2|117.1|112.1|2004|All ICCC Groups Combined|17879968|1999
<1|226.1|260.1|242.7|796|All ICCC Groups Combined|3280395|1999
1-4|77.4|87.2|82.2|1093|I Leukemias, myeloproliferative & myelodysplastic diseases|13297303|1999
10-14|26.7|31.8|29.1|510|I Leukemias, myeloproliferative & myelodysplastic diseases|17507634|1999
15-19|24.6|29.6|27.0|469|I Leukemias, myeloproliferative & myelodysplastic diseases|17355940|1999
5-9|35.0|40.8|37.8|676|I Leukemias, myeloproliferative & myelodysplastic diseases|17879968|1999
<1|39.5|54.6|46.6|153|I Leukemias, myeloproliferative & myelodysplastic diseases|3280395|1999
1-4|64.8|73.8|69.2|920|I(a) Lymphoid leukemias|13297303|1999
10-14|18.5|22.8|20.6|360|I(a) Lymphoid leukemias|17507634|1999
15-19|12.7|16.3|14.4|250|I(a) Lymphoid leukemias|17355940|1999
5-9|29.0|34.3|31.5|564|I(a) Lymphoid leukemias|17879968|1999
<1|17.7|28.3|22.6|74|I(a) Lymphoid leukemias|3280395|1999
1-4|9.1|12.7|10.8|144|I(b) Acute myeloid leukemias|13297303|1999
10-14|5.4|7.8|6.5|114|I(b) Acute myeloid leukemias|17507634|1999
15-19|8.0|10.9|9.4|163|I(b) Acute myeloid leukemias|17355940|1999
5-9|4.0|6.1|5.0|89|I(b) Acute myeloid leukemias|17879968|1999
<1|12.6|21.8|16.8|55|I(b) Acute myeloid leukemias|3280395|1999
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|13297303|1999
10-14|~|~|~|~|I(c) Chronic myeloproliferative diseases|17507634|1999
15-19|1.5|2.9|2.1|36|I(c) Chronic myeloproliferative diseases|17355940|1999
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|17879968|1999
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3280395|1999
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|13297303|1999
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|17507634|1999
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|17355940|1999
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|17879968|1999
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3280395|1999
1-4|1.1|2.6|1.7|23|I(e) Unspecified and other specified leukemias|13297303|1999
10-14|0.7|1.8|1.2|21|I(e) Unspecified and other specified leukemias|17507634|1999
15-19|0.7|1.7|1.1|19|I(e) Unspecified and other specified leukemias|17355940|1999
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|17879968|1999
<1|3.0|8.3|5.2|17|I(e) Unspecified and other specified leukemias|3280395|1999
1-4|8.0|11.4|9.6|127|II Lymphomas and reticuloendothelial neoplasms|13297303|1999
10-14|21.0|25.6|23.2|407|II Lymphomas and reticuloendothelial neoplasms|17507634|1999
15-19|44.2|50.8|47.4|823|II Lymphomas and reticuloendothelial neoplasms|17355940|1999
5-9|11.6|15.0|13.2|236|II Lymphomas and reticuloendothelial neoplasms|17879968|1999
<1|5.7|12.3|8.5|28|II Lymphomas and reticuloendothelial neoplasms|3280395|1999
1-4|~|~|~|~|II(a) Hodgkin lymphomas|13297303|1999
10-14|9.5|12.6|11.0|192|II(a) Hodgkin lymphomas|17507634|1999
15-19|28.7|34.0|31.2|542|II(a) Hodgkin lymphomas|17355940|1999
5-9|3.2|5.1|4.1|73|II(a) Hodgkin lymphomas|17879968|1999
<1|~|~|~|~|II(a) Hodgkin lymphomas|3280395|1999
1-4|4.0|6.5|5.1|68|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|13297303|1999
10-14|7.0|9.8|8.3|146|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|17507634|1999
15-19|11.2|14.6|12.8|222|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|17355940|1999
5-9|4.4|6.6|5.4|97|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|17879968|1999
