AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
144.2|150.9|147.5|7648|All ICCC Groups Combined|51965300|0-14|All Races|Male and Female|1999|||
45.0|48.8|46.9|2432|I Leukemias, myeloproliferative & myelodysplastic diseases|51965300|0-14|All Races|Male and Female|1999|||
35.3|38.6|36.9|1918|I(a) Lymphoid leukemias|51965300|0-14|All Races|Male and Female|1999|||
7.0|8.6|7.8|402|I(b) Acute myeloid leukemias|51965300|0-14|All Races|Male and Female|1999|||
0.4|0.8|0.6|29|I(c) Chronic myeloproliferative diseases|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|51965300|0-14|All Races|Male and Female|1999|||
1.1|1.8|1.4|74|I(e) Unspecified and other specified leukemias|51965300|0-14|All Races|Male and Female|1999|||
14.3|16.5|15.4|798|II Lymphomas and reticuloendothelial neoplasms|51965300|0-14|All Races|Male and Female|1999|||
4.8|6.1|5.4|279|II(a) Hodgkin lymphomas|51965300|0-14|All Races|Male and Female|1999|||
5.5|6.9|6.1|319|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|51965300|0-14|All Races|Male and Female|1999|||
2.1|3.0|2.5|132|II(c) Burkitt lymphoma|51965300|0-14|All Races|Male and Female|1999|||
0.6|1.2|0.9|45|II(d) Miscellaneous lymphoreticular neoplasms|51965300|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.4|23|II(e) Unspecified lymphomas|51965300|0-14|All Races|Male and Female|1999|||
30.1|33.2|31.7|1646|III CNS and misc intracranial and intraspinal neoplasms|51965300|0-14|All Races|Male and Female|1999|||
2.4|3.3|2.8|147|III(a) Ependymomas and choroid plexus tumor|51965300|0-14|All Races|Male and Female|1999|||
13.3|15.4|14.3|745|III(b) Astrocytomas|51965300|0-14|All Races|Male and Female|1999|||
7.4|8.9|8.1|422|III(c) Intracranial and intraspinal embryonal tumors|51965300|0-14|All Races|Male and Female|1999|||
4.7|5.9|5.3|274|III(d) Other gliomas|51965300|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|25|III(e) Other specified intracranial & intraspinal neoplasms|51965300|0-14|All Races|Male and Female|1999|||
0.4|0.9|0.6|33|III(f) Unspecified intracranial and intraspinal neoplasms|51965300|0-14|All Races|Male and Female|1999|||
9.8|11.6|10.6|547|IV Neuroblastoma and other peripheral nervous cell tumors|51965300|0-14|All Races|Male and Female|1999|||
9.6|11.4|10.5|538|IV(a) Neuroblastoma and ganglioneuroblastoma|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|51965300|0-14|All Races|Male and Female|1999|||
8.8|10.5|9.6|497|IX Soft tissue and other extraosseous sarcomas|51965300|0-14|All Races|Male and Female|1999|||
4.4|5.6|5.0|259|IX(a) Rhabdomyosarcomas|51965300|0-14|All Races|Male and Female|1999|||
0.7|1.3|1.0|52|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|51965300|0-14|All Races|Male and Female|1999|||
